煞,shā shà,寝,qǐn,瞒,mán,添,tiān,嫂,sǎo
纠,jiū,慨,kǎi,嚷,rāng rǎng,驰,chí,拐,guǎi
宴,yàn,津,jīn,岚,lán,浴,yù,耻,chǐ
挽,wǎn,页,yè,誉,yù,牲,shēng,乳,rǔ
仓,cāng,逝,shì,喉,hóu,逛,guàng,樱,yīng
兼,jiān,戈,gē,哗,huā huá,涯,yá,捧,pěng
铭,míng,障,zhàng,摊,tān,跨,kuà,妥,tuǒ
揉,róu,晋,jìn,寞,mò,寨,zhài,漆,qī
污,wū,嘲,cháo,枚,méi,吊,diào,乾,qián
馨,xīn,伪,wěi,嗓,sǎng,呈,chéng,卿,qīng
楠,nán,籍,jí,裸,luǒ,链,liàn,灌,guàn
昆,kūn,畅,chàng,逍,xiāo,帽,mào,阅,yuè
逗,dòu,蹲,dūn,踩,cǎi,窜,cuàn,哑,yā yǎ
趴,pā,逢,féng,植,zhí,媒,méi,韵,yùn
昭,zhāo,尹,yǐn,谦,qiān,档,dàng,趟,tàng
沾,zhān,兔,tù,订,dìng,朴,piáo pò pǔ,瞎,xiā
鞭,biān,俺,ǎn,斤,jīn,翅,chì,肠,cháng
雀,qiāo qiǎo què,慎,shèn,盆,pén,迁,qiān,镖,biāo
芬,fēn,崖,yá,丘,qiū,蠢,chǔn,庙,miào
潘,pān,颖,yǐng,拓,tà tuò,娶,qǔ,纱,shā
漏,lòu,谨,jǐn,珊,shān,仆,pū pú,宙,zhòu
尉,wèi yù,屑,xiè,叮,dīng,捂,wǔ,涩,sè
诧,chà,柴,chái,杆,gān gǎn,涵,hán,坠,zhuì
赔,péi,涨,zhǎng zhàng,嘟,dū,崩,bēng,薛,xuē
藤,téng,税,shuì,枯,kū,译,yì,帘,lián
糖,táng,愉,yú,骄,jiāo,羡,xiàn,糕,gāo
彬,bīn,愚,yú,疏,shū,翰,hàn,堵,dǔ
腕,wàn,眸,móu,芸,yún,溪,xī,殷,yān yīn
谎,huǎng,鼎,dǐng,稿,gǎo,哟,yō yo,冤,yuān
症,zhēng zhèng,棵,kē,狄,dí,咧,liē liě,湘,xiāng
宛,wǎn,嫩,nèn,肆,sì,宰,zǎi,憾,hàn
偿,cháng,腔,qiāng,哩,lī li,豹,bào,瑰,guī
鉴,jiàn,绑,bǎng,潇,xiāo,戚,qī,郡,jùn
澡,zǎo,桂,guì,兮,xī,雯,wén,颠,diān
狮,shī,邻,lín,契,qì,骇,hài,卜,bo bǔ
揭,jiē,妄,wàng,坑,kēng,伐,fá,矩,jǔ
烁,shuò,葬,zàng,诀,jué,鄙,bǐ,鹿,lù
柏,bǎi bó,溃,huì kuì,朕,zhèn,舟,zhōu,妆,zhuāng
躁,zào,霉,méi,侦,zhēn,冻,dòng,娅,yà
庸,yōng,筹,chóu,削,xiāo xuē,砰,pēng,耿,gěng
牺,xī,筒,tǒng,遂,suí suì,旭,xù,胎,tāi
惶,huáng,淑,shū,叉,chā chá chǎ chà,痒,yǎng,竖,shù
龟,guī jūn qiū,斑,bān,儒,rú,嫣,yān,宅,zhái
押,yā,胃,wèi,旨,zhǐ,册,cè,膝,xī
浸,jìn,弦,xián,栏,lán,衷,zhōng,刮,guā
艇,tǐng,岗,gāng gǎng,赴,fù,囊,nāng náng,斧,fǔ
颊,jiá,疆,jiāng,炉,lú,塌,tā,乞,qǐ
旺,wàng,烤,kǎo,黛,dài,逊,xùn,贱,jiàn
辨,biàn,狸,lí,叙,xù,愕,è,叠,dié
遣,qiǎn,晌,shǎng,麟,lín,腥,xīng,粒,lì
拟,nǐ,俏,qiào,杖,zhàng,芝,zhī,夷,yí
衬,chèn,佐,zuǒ,巷,hàng xiàng,捡,jiǎn,遵,zūn
塑,sù,桶,tǒng,泼,pō,滩,tān,琼,qióng
昊,hào,帆,fān,搏,bó,颈,gěng jǐng,噢,ō
蹦,bèng,寡,guǎ,贞,zhēn,凰,huáng,哨,shào
拆,chāi,茹,rú,劣,liè,嘱,zhǔ,沃,wò
厢,xiāng,摘,zhāi,咋,zǎ zé zhā,坤,kūn,俯,fǔ
媳,xí,赋,fù,嘶,sī,贡,gòng,碌,liù lù
匙,chí shi,拢,lǒng,谭,tán,翁,wēng,辜,gū
竭,jié,廉,lián,械,xiè,贸,mào,辅,fǔ
讽,fěng,呐,nà,斌,bīn,辽,liáo,填,tián
窃,qiè,抄,chāo,溢,yì,妒,dù,吁,xū yū yù
嗦,suō,掀,xiān,芙,fú,祈,qí,栋,dòng
吱,zhī zī,撇,piē piě,胞,bāo,轿,jiào,禅,chán shàn
妨,fáng,拂,fú,倦,juàn,衰,shuāi,靖,jìng
循,xún,挪,nuó,蓬,péng,惩,chéng,垃,lā
账,zhàng,驳,bó,署,shǔ,甫,fǔ,顽,wán
姥,lǎo,圾,jī,熬,āo áo,枕,zhěn,丐,gài
茜,qiàn xī,咦,yí,厕,cè,攀,pān,彤,tóng
妍,yán,拽,zhuài,荆,jīng,妓,jì,壶,hú
於,yū yú,寇,kòu,鹤,hè,钥,yào yuè,骤,zhòu
渺,miǎo,刊,kān,肢,zhī,烛,zhú,孕,yùn
绽,zhàn,彦,yàn,棉,mián,俘,fú,盔,kuī
剪,jiǎn,诞,dàn,兜,dōu,凛,lǐn,岭,lǐng
嚣,xiāo,溅,jiàn,笛,dí,舱,cāng,罕,hǎn
鸭,yā,债,zhài,噬,shì,钉,dīng dìng,躬,gōng
倚,yǐ,缕,lǚ,咚,dōng,撼,hàn,蕊,ruǐ
侄,zhí,佑,yòu,雁,yàn,隶,lì,践,jiàn
拱,gǒng,沐,mù,菊,jú,蜂,fēng,裕,yù
兆,zhào,搅,jiǎo,尿,niào suī,黯,àn,歹,dǎi
蓄,xù,朦,méng,嘀,dí,怯,qiè,叨,dāo dáo tāo
纽,niǔ,聘,pìn,腻,nì,剥,bāo bō,彪,biāo
沸,fèi,氓,máng,榜,bǎng,逻,luó,壳,ké qiào
储,chǔ,憋,biē,啤,pí,匠,jiàng,悍,hàn
昧,mèi,泊,bó pō,篷,péng,烫,tàng,狡,jiǎo
轨,guǐ,汹,xiōng,携,xié,磊,lěi,隙,xì
仑,lún,摧,cuī,瞄,miáo,胧,lóng,趋,qū
挠,náo,煌,huáng,擅,shàn,卒,cù zú,饼,bǐng
狭,xiá,丸,wán,惫,bèi,瞅,chǒu,犬,quǎn
砖,zhuān,矣,yǐ,楞,léng,昔,xī,裳,shang
骆,luò,雇,gù,阎,yán,骷,kū,鸦,yā
妞,niū,墅,shù,焚,fén,谱,pǔ,绘,huì
梳,shū,肿,zhǒng,魁,kuí,耽,dān,擒,qín
陡,dǒu,璋,zhāng,茂,mào,蹄,tí,瞥,piē
瞳,tóng,髅,lóu,绣,xiù,硕,shuò,肺,fèi
兹,cí zī,炒,chǎo,邮,yóu,弘,hóng,嫉,jí
届,jiè,嗡,wēng,娱,yú,喧,xuān,脂,zhī
膛,táng,沧,cāng,疚,jiù,盐,yán,扁,biǎn piān
搁,gē gé,茅,máo,滔,tāo,坟,fén,掐,qiā
瑜,yú,邱,qiū,桐,tóng,茵,yīn,苹,píng
旷,kuàng,翘,qiáo qiào,郝,hǎo,蓦,mò,诈,zhà
沫,mò,菁,jīng,粹,cuì,琢,zhuó zuó,腊,là
钦,qīn,喻,yù,宪,xiàn,锻,duàn,睹,dǔ
郊,jiāo,饥,jī,侃,kǎn,粘,nián zhān,媛,yuán yuàn
谊,yì,恳,kěn,厮,sī,锤,chuí,凳,dèng
淮,huái,蔽,bì,聂,niè,贩,fàn,潭,tán
翩,piān,呻,shēn,枉,wǎng,拘,jū,煮,zhǔ
焉,yān,址,zhǐ,匕,bǐ,渗,shèn,览,lǎn
敦,dūn,厦,shà xià,蕴,yùn,冉,rǎn,薪,xīn
呃,è e,峻,jùn,荐,jiàn,栽,zāi,嚎,háo
汁,zhī,傍,bàng,秃,tū,磕,kē,禀,bǐng
珑,lóng,坎,kǎn,邵,shào,萌,méng,窄,zhǎi
阮,ruǎn,蹈,dǎo,碑,bēi,婶,shěn,煤,méi
寓,yù,栈,zhàn,滞,zhì,倘,tǎng,杭,háng
暇,xiá,狈,bèi,峡,xiá,侣,lǚ,芦,lú lǔ
蔓,mán màn wàn,蒸,zhēng,禄,lù,胀,zhàng,醋,cù
淌,tǎng,伞,sǎn,姊,zǐ,钩,gōu,衍,yǎn
妾,qiè,嘎,gā gá gǎ,蜀,shǔ,蝴,hú,萝,luó
莽,mǎng,弩,nǔ,祷,dǎo,稚,zhì,圳,zhèn
徽,huī,衙,yá,咸,xián,陋,lòu,奢,shē
罐,guàn,霄,xiāo,毙,bì,汝,rǔ,敞,chǎng
暮,mù,嘘,shī xū,灼,zhuó,澜,lán,姗,shān
倪,ní,挫,cuò,咪,mī mǐ,钧,jūn,捣,dǎo
燥,zào,泳,yǒng,眶,kuàng,乙,yǐ,澈,chè
焕,huàn,酬,chóu,筷,kuài,宵,xiāo,缚,fù
揪,jiū,蚁,yǐ,喇,lǎ,丞,chéng,拎,līn
棠,táng,咙,lóng,梭,suō,哧,chī,棺,guān
璇,xuán,瀚,hàn,肝,gān,敛,liǎn,剂,jì
疤,bā,渔,yú,嗔,chēn,沮,jǔ,廖,liào
虏,lǔ,皓,hào,勋,xūn,恕,shù,虐,nüè
虞,yú,综,zèng zōng,瘾,yǐn,驴,lǘ,晒,shài
卦,guà,迦,jiā,陀,tuó,窥,kuī,堕,duò
哆,duō,葡,pú,帖,tiē tiě tiè,垫,diàn,屡,lǚ
鹅,é,蛛,zhū,盲,máng,碟,dié,狞,níng
囚,qiú,诊,zhěn,揽,lǎn,裴,péi,捞,lāo
吏,lì,铮,zhēng,萄,táo,盏,zhǎn,霆,tíng
喔,wō,贷,dài,勿,wù,吭,háng kēng,淘,táo
辟,bì pì,蔑,miè,淹,yān,麒,qí,喽,lóu lou
栗,lì,绷,bēng běng bèng,惚,hū,桓,huán,坊,fāng fáng
桩,zhuāng,嗽,sòu,履,lǚ,璐,lù,菩,pú
巢,cháo,畜,chù xù,兀,wù,樊,fán,锡,xī
棚,péng,仕,shì,倏,shū,芹,qín,僻,pì
絮,xù,杏,xìng,浆,jiāng jiàng,瘫,tān,啧,zé
磁,cí,冈,gāng,逮,dǎi dài,搓,cuō,赠,zèng
胶,jiāo,脊,jǐ,噩,è,绰,chāo chuò,呕,ǒu
嚼,jiáo jiào jué,谐,xié,歼,jiān,揣,chuāi chuǎi chuài,殖,shi zhí
拧,níng nǐng nìng,伺,cì sì,霖,lín,驼,tuó,襄,xiāng
衔,xián,惕,tì,掷,zhì,卸,xiè,炽,chì
敖,áo,惭,cán,框,kuàng,捆,kǔn,眩,xuàn
蝉,chán,谜,mí,炫,xuàn,塘,táng,阱,jǐng
膜,mó,亨,hēng,奕,yì,蚂,mǎ mà,猩,xīng
滨,bīn,沁,qìn,跋,bá,藩,fān,舔,tiǎn
捐,juān,歧,qí,隋,suí,蹭,cèng,甄,zhēn
蜡,là,嗤,chī,缸,gāng,嬉,xī,哮,xiào
熄,xī,窍,qiào,俞,yú,豁,huō huò,垒,lěi
掘,jué,琦,qí,屎,shǐ,乍,zhà,孽,niè
毯,tǎn,弧,hú,槐,huái,铠,kǎi,挟,xié
襟,jīn,梨,lí,嗅,xiù,祁,qí,纲,gāng
渠,qú,矢,shǐ,捅,tǒng,扛,gāng káng,朽,xiǔ
忖,cǔn,匈,xiōng,扒,bā pá,雍,yōng,莺,yīng
侮,wǔ,闺,guī,霓,ní,稽,jī,斋,zhāi
夭,yāo,沦,lún,揍,zòu,瞟,piǎo,苟,gǒu
琉,liú,漪,yī,暑,shǔ,窟,kū,钓,diào
鳞,lín,瓷,cí,萱,xuān,株,zhū,倭,wō
鞘,qiào shāo,沛,pèi,噜,lū,绞,jiǎo,颓,tuí
睿,ruì,噗,pū,唔,wú,幢,chuáng zhuàng,喀,kā
诅,zǔ,涕,tì,拣,jiǎn,谣,yáo,叽,jī
葱,cōng,拭,shì,婢,bì,铸,zhù,绮,qǐ
剿,jiǎo,胤,yìn,秩,zhì,畔,pàn,粥,zhōu
奎,kuí,绸,chóu,茨,cí,熏,xūn,蹬,dēng
诏,zhào,岔,chà,叭,bā,咆,páo,滥,làn
梧,wú,垮,kuǎ,澳,ào,浙,zhè,甸,diàn
绯,fēi,诛,zhū,鲍,bào,刁,diāo,厥,jué
蚊,wén,鞠,jū,歆,xīn,拙,zhuō,茗,míng
眷,juàn,戮,lù,唬,hǔ,骏,jùn,扳,bān
踹,chuài,漓,lí,蝇,yíng,擂,léi lèi,涡,guō wō
沌,dùn zhuàn,凸,tū,蚩,chī,酿,niàng,唾,tuò
琐,suǒ,犀,xī,澄,chéng dèng,哉,zāi,猾,huá
煎,jiān,窒,zhì,虾,xiā,蝠,fú,钞,chāo
瓣,bàn,唧,jī,觑,qù,哽,gěng,娥,é
婿,xù,讪,shàn,耕,gēng,葫,hú,暧,ài
浇,jiāo,嗨,hāi,诵,sòng,疫,yì,兢,jīng
箫,xiāo,颅,lú,啼,tí,绅,shēn,杉,shā shān
嗜,shì,券,quàn xuàn,遁,dùn,炯,jiǒng,霎,shà
讥,jī,迭,dié,彷,páng,觅,mì,娴,xián
抿,mǐn,剔,tī,稻,dào,敷,fū,泻,xiè
怠,dài,龚,gōng,绒,róng,讳,huì,勺,sháo
函,hán,喳,chā zhā,颂,sòng,搀,chān,撩,liāo liáo
擎,qíng,巍,wēi,脯,fǔ pú,镶,xiāng,寥,liáo
漾,yàng,缴,jiǎo,藉,jí jiè,弊,bì,逞,chěng
膏,gāo gào,戳,chuō,呛,qiāng qiàng,凹,āo,叩,kòu
禽,qín,懊,ào,懈,xiè,蛟,jiāo,亢,kàng
呸,pēi,芊,qiān,慑,shè,跺,duò,跄,qiàng
蚀,shí,栖,qī,蔚,wèi yù,铲,chǎn,坪,píng
筝,zhēng,顷,qǐng,腮,sāi,踉,liàng,狰,zhēng
踱,duó,嗖,sōu,苑,yuàn,秉,bǐng,猿,yuán
堤,dī,佟,tóng,悯,mǐn,唠,láo lào,憨,hān
肘,zhǒu,拇,mǔ,僚,liáo,霹,pī,婕,jié
禹,yǔ,啃,kěn,匀,yún,晖,huī,怅,chàng
聋,lóng,拯,zhěng,忿,fèn,韧,rèn,邹,zōu
梢,shāo,肋,lèi,窘,jiǒng,嵌,qiàn,婪,lán
辖,xiá,浦,pǔ,炭,tàn,曦,xī,簇,cù
螺,luó,酱,jiàng,屯,tún,悴,cuì,匡,kuāng
冀,jì,橙,chéng,倔,jué juè,陕,shǎn,筱,xiǎo
叱,chì,髓,suǐ,淳,chún,矜,jīn,詹,zhān
菱,líng,芷,zhǐ,惺,xīng,浊,zhuó,囔,nāng
朔,shuò,憔,qiáo,睫,jié,睬,cǎi,鸽,gē
臀,tún,吨,dūn,笙,shēng,戟,jǐ,沼,zhǎo
谍,dié,昕,xīn,蛊,gǔ,煜,yù,祀,sì
罡,gāng,伶,líng,荫,yīn yìn,酥,sū,懦,nuò
厄,è,峨,é,轴,zhóu zhòu,伽,gā jiā qié,雳,lì
卵,luǎn,捶,chuí,檐,yán,棘,jí,嗣,sì
钗,chāi,袜,wà,妩,wǔ,炕,kàng,偎,wēi
窦,dòu,蝎,xiē,溶,róng,幺,yāo,膨,péng
峙,shì zhì,缉,jī qī,徊,huái,呗,bei,衅,xìn
砂,shā,舵,duò,昼,zhòu,迸,bèng,斟,zhēn
舆,yú,椒,jiāo,靓,jìng liàng,旬,xún,厘,lí
窑,yáo,萎,wěi,涟,lián,疙,gē,芠,wén
瘩,dá da,梵,fàn,靴,xuē,侥,jiǎo yáo,匿,nì
挚,zhì,镯,zhuó,兑,duì,尧,yáo,徘,pái
芽,yá,狙,jū,闵,mǐn,辫,biàn,瀑,bào pù
嗷,áo,庐,lú,芯,xīn xìn,禾,hé,澎,péng
邢,xíng,绊,bàn,蜘,zhī,憎,zēng,靡,mí mǐ
褚,chǔ,湛,zhàn,蒲,pú,嚓,cā chā,珂,kē
崽,zǎi,贬,biǎn,惮,dàn,婵,chán,嗒,dā
悸,jì,晦,huì,涅,niè,恬,tián,慷,kāng
穹,qióng,渣,zhā,屉,tì,缭,liáo,绢,juàn
嬴,yíng,袱,fú,黝,yǒu,袅,niǎo,淇,qí
茄,jiā qié,寅,yín,赦,shè,悻,xìng,祟,suì
榻,tà,蛙,wā,苇,wěi,嵩,sōng,茉,mò
唰,shuā,咏,yǒng,凿,záo,粪,fèn,噪,zào
菌,jūn jùn,蝙,biān,庶,shù,邸,dǐ,晟,chéng
禧,xǐ,攒,cuán zǎn,旱,hàn,虔,qián,琛,chēn
榴,liú,漱,shù,忑,tè,匣,xiá,忐,tǎn
谬,miù,蟒,mǎng,棱,lēng léng líng,钝,dùn,悚,sǒng
廓,kuò,惘,wǎng,漉,lù,蟹,xiè,佬,lǎo
曳,yè,赎,shú,壤,rǎng,忡,chōng,倡,chàng
冶,yě,姝,shū,筠,jūn yún,竿,gān,蜷,quán
癌,ái,嘈,cáo,蚕,cán,剖,pōu,颁,bān
缀,zhuì,汀,tīng,谕,yù,牡,mǔ,斐,fěi
懵,měng,皙,xī,缪,miào miù móu,蔷,qiáng,诫,jiè
恤,xù,咄,duō,馒,mán,矫,jiáo jiǎo,痞,pǐ
橘,jú,氧,yǎng,贿,huì,肮,āng,瑾,jǐn
璧,bì,烙,lào luò,攘,rǎng,攥,zuàn,汰,tài
溺,nì,铅,qiān yán,咔,kā kǎ,芭,bā,戎,róng
褐,hè,巩,gǒng,吆,yāo,彰,zhāng,漩,xuán
聆,líng,蒜,suàn,棕,zōng,鹃,juān,帜,zhì
鄂,è,搐,chù,蔼,ǎi,怦,pēng,穗,suì
亩,mǔ,撰,zhuàn,绎,yì,牟,móu mù,咨,zī
奄,yǎn,梓,zǐ,绚,xuàn,阀,fá,烘,hōng
炙,zhì,翎,líng,惋,wǎn,驯,xùn,栩,xǔ
逾,yú,墟,xū,鬟,huán,茬,chá,褪,tuì tùn
鑫,xīn,骸,hái,峭,qiào,缅,miǎn,灶,zào
洽,qià,祯,zhēn,暄,xuān,裔,yì,韶,sháo
缎,duàn,砚,yàn,锥,zhuī,辙,zhé,惦,diàn
铛,chēng dāng,枣,zǎo,桦,huà,邃,suì,橱,chú
搔,sāo,腑,fǔ,萤,yíng,枢,shū,遏,è
募,mù,憬,jǐng,庵,ān,叼,diāo,嫖,piáo
苛,kē,锣,luó,蹑,niè,拌,bàn,奠,diàn
秽,huì,殴,ōu,喋,dié zhá,糙,cāo,貂,diāo
揖,yī,葵,kuí,榆,yú,颐,yí,皂,zào
眈,dān,扼,è,眺,tiào,孜,zī,簌,sù
玺,xǐ,偌,ruò,蹿,cuān,蓓,bèi,弛,chí
庇,bì,檀,tán,枭,xiāo,螂,láng,趾,zhǐ
崭,zhǎn,妲,dá,掂,diān,醇,chún,掺,chān
驿,yì,槽,cáo,惬,qiè,镰,lián,抡,lūn
憧,chōng,删,shān,鸳,yuān,酣,hān,宦,huàn
筐,kuāng,琅,láng,瞻,zhān,焱,yàn,飙,biāo
湃,pài,俨,yǎn,跷,qiāo,栅,shān zhà,撅,juē
煽,shān,呱,gū guā,缰,jiāng,猝,cù,衮,gǔn
肴,yáo,殆,dài,谴,qiǎn,蔬,shū,飒,sà
婧,jìng,阐,chǎn,荧,yíng,侈,chǐ,霏,fēi
瘟,wēn,芜,wú,俭,jiǎn,崎,qí,亥,hài
俐,lì,屿,yǔ,譬,pì,饺,jiǎo,垄,lǒng
畴,chóu,杠,gàng,鬓,bìn,讼,sòng,晏,yàn
弈,yì,鞍,ān,瘸,qué,钮,niǔ,珏,jué
钰,yù,傀,kuǐ,噔,dēng,驭,yù,靶,bǎ
萦,yíng,韬,tāo,恙,yàng,懿,yì,竺,zhú
吝,lìn,羁,jī,荀,xún,癫,diān,嘭,pēng
菇,gū,恃,shì,瘪,biē biě,儡,lěi,踌,chóu
呦,yōu,榕,róng,昵,nì,躇,chú,烬,jìn
啰,luō luó luo,酌,zhuó,丙,bǐng,涎,xián,哒,dā
冽,liè,鸾,luán,砌,qì,烨,yè,翟,dí zhái
辗,zhǎn,噎,yē,驹,jū,噼,pī,咎,jiù
亵,xiè,陨,yǔn,蠕,rú,冕,miǎn,雌,cí
茸,róng,瑛,yīng,剃,tì,掰,bāi,蹙,cù
橡,xiàng,佯,yáng,笃,dǔ,崛,jué,勘,kān
稼,jià,桀,jié,渝,yú,汐,xī,锈,xiù
磅,bàng páng,壕,háo,娄,lóu,撮,cuō zuǒ,玑,jī
祠,cí,鹫,jiù,娲,wā,黏,nián,珀,pò
睽,kuí,栓,shuān,绫,líng,阑,lán,邑,yì
瑕,xiá,磋,cuō,粟,sù,薯,shǔ,沪,hù
